Domain,DNS,First seen,Last seen
ondereteveng.ru,A,185.18.52.127,20150730,20150810
padetitdidn.com,A,93.171.202.158,20150615,20150621
pardijusat.ru,A,148.251.34.82,20150810,20150810
pardijusat.ru,A,148.251.34.82,20150810,20150810
parterledhed.com,A,151.248.113.8,20150617,20150623
pasnirthland.com,A,79.124.13.18,20150605,20150606
pasnirthland.com,A,91.221.36.165,20150602,20150605
pebulelet.ru,A,185.18.52.127,20150802,20150810
pebulelet.ru,A,193.169.86.174,20150714,20150716
pizdetshuiovosboduna.com,A,193.36.35.78,20150527,20150602
podvigtitanika.com,A,151.80.72.64,20150603,20150604
poly-poly.net,A,91.220.131.16,20150612,20150613
randomwfu365.com,A,91.194.254.224,20150415,20150417
ranrianinghers.ru,A,46.166.168.79,20150707,20150711
rearmheadfire.com,A,185.86.76.168,20150520,20150728
rearmheadfire.com,A,199.59.243.120,20150728,20150803
rebettheligh.ru,A,185.18.52.127,20150730,20150810
rebledughid.com,A,5.63.154.158,20150625,20150627
redesparda.com,A,77.246.146.74,20150623,20150628
redwithtertreb.ru,A,93.171.202.172,20150729,20150729
renrefhedked.ru,A,176.103.48.223,20150713,20150715
renrefhedked.ru,A,185.18.52.127,20150802,20150810
renwitedrom.ru,A,193.26.217.209,20150722,20150722
righthetoneca.ru,A,193.169.86.174,20150716,20150717
rinheckguny.ru,A,46.166.168.79,20150708,20150708
rosupletwas.com,A,188.138.108.153,20150701,20150707
sabotierfirst.com,A,95.128.181.236,20150803,20150803
salecheapflight.com,A,91.238.83.110,20150425,20150426
saloross.com,A,46.161.40.108,20150607,20150805
sampledocstrash.com,A,46.4.145.94,20150511,20150720
secureinvoicedocs.com,A,67.215.66.146,20150520,20150702
sestoreinv.com,A,62.76.179.132,20150507,20150512
shareinvoicelib.com,A,67.215.66.146,20150520,20150702
sofforjeclet.ru,A,193.169.86.174,20150708,20150708
somedocushare.com,A,67.215.66.146,20150521,20150702
somedocushare.com,A,191.101.20.165,20150513,20150809
sparwasssinve.ru,A,185.87.48.200,20150722,20150722
starinvoicemodel.com,A,185.17.121.148,20150513,20150513
talahedtug.ru,A,93.171.202.172,20150811,20150811
tanhadhidown.ru,A,193.169.86.174,20150709,20150711
thenjechap.com,A,84.19.176.23,20150618,20150619
thenlouldnot.ru,A,176.31.66.130,20150722,20150722
thettoortoft.ru,A,62.75.196.124,20150706,20150707
ticalharked.ru,A,193.169.86.174,20150713,20150715
titanikvmoskalii.com,A,78.46.236.2,20150604,20150616
tofthenningref.com,A,23.29.118.23,20150624,20150701
toldbiledin.ru,A,92.222.98.108,20150810,20150810
toldontinwi.ru,A,46.166.168.79,20150701,20150701
toldronher.com,A,91.203.5.186,20150610,20150613
tonsulddijus.ru,A,93.171.202.172,20150804,20150804
torsmimyred.ru,A,62.173.145.8,20150728,20150729
torssedbabbe.com,A,93.189.42.8,20150623,20150705
trash4docs.com,A,191.101.21.219,20150609,20150623
trashdocformat.com,A,46.30.42.234,20150608,20150609
trashformatdocer.com,A,46.30.42.234,20150604,20150605
trbestbuy.com,A,195.62.52.35,20150626,20150626
tumanimoskal.com,A,78.136.221.141,20150603,20150603
tumanmoskalskiy.com,A,88.198.231.109,20150604,20150607
tumanvmoskalii.com,A,94.242.57.106,20150608,20150614
ughimsinna.ru,A,176.31.66.130,20150723,20150802
uldhowhedtca.ru,A,62.173.145.8,20150804,20150804
undmiredhem.ru,A,176.111.63.100,20150630,20150713
undvemofo.ru,A,93.171.202.172,20150805,20150810
uttejustrep.ru,A,93.171.202.172,20150806,20150806
veetdohi.ru,A,176.103.48.223,20150714,20150715
veetdohi.ru,A,185.18.53.247,20150809,20150810
veronefosof.com,A,23.29.118.23,20150623,20150625
video-promo.org,A,95.211.197.232,20150602,20150804
video-promo.org,A,107.170.217.209,20150803,20150809
wantools40.com,A,185.17.121.148,20150418,20150626
wastolddinghes.ru,A,188.120.246.249,20150730,20150801
withetborom.ru,A,148.251.34.82,20150811,20150811
wituldwihow.com,A,176.111.63.100,20150629,20150730
workwithdocuments.com,A,67.215.66.146,20150520,20150702
worldshipone.net,A,31.184.192.214,20150626,20150731
wrononeratwass.ru,A,62.173.145.8,20150729,20150729
